               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.057642,            0.085287,            0.037326,             0.55824,             0.39088,             0.40538,             0.20147,            0.053994,            0.054267,            0.024353,           0.0097011,           0.0097011,           0.0097011
                  37,            0.057617,             0.08531,            0.037206,             0.55076,             0.39545,             0.40611,              0.2018,            0.053988,            0.054248,             0.02433,            0.009684,            0.009684,            0.009684
                  38,            0.057613,            0.085672,            0.037143,             0.56122,             0.39133,             0.40705,             0.20242,            0.053958,            0.054228,            0.024284,           0.0096664,           0.0096664,           0.0096664
                  39,            0.057543,             0.08537,            0.037177,             0.54717,             0.39851,             0.40744,             0.20272,            0.053954,            0.054211,            0.024256,           0.0096484,           0.0096484,           0.0096484
                  40,            0.057512,            0.085292,            0.037004,              0.5612,             0.39278,              0.4081,              0.2029,            0.053959,            0.054199,            0.024223,           0.0096299,           0.0096299,           0.0096299
                  41,             0.05761,            0.085425,             0.03713,              0.5564,              0.3962,             0.40881,              0.2032,            0.053946,            0.054196,            0.024193,            0.009611,            0.009611,            0.009611
                  42,            0.057502,            0.085413,            0.037079,             0.55683,             0.39693,             0.40922,             0.20358,             0.05394,            0.054179,            0.024151,           0.0095916,           0.0095916,           0.0095916
                  43,            0.057471,             0.08546,            0.036935,             0.55544,             0.39841,                0.41,             0.20392,            0.053915,            0.054164,            0.024112,           0.0095717,           0.0095717,           0.0095717
                  44,            0.057413,            0.085127,            0.036907,             0.55596,             0.39927,             0.41066,              0.2041,            0.053898,            0.054164,            0.024077,           0.0095514,           0.0095514,           0.0095514
                  45,              0.0574,            0.084999,            0.036879,             0.55551,             0.39976,             0.41103,             0.20439,            0.053891,            0.054155,            0.024046,           0.0095307,           0.0095307,           0.0095307
                  46,            0.057409,            0.084836,            0.036813,             0.56616,             0.39503,              0.4114,             0.20463,            0.053872,            0.054148,            0.024002,           0.0095095,           0.0095095,           0.0095095
                  47,            0.057372,            0.084918,            0.036894,             0.55492,              0.4012,             0.41192,             0.20473,            0.053886,            0.054137,            0.023978,           0.0094879,           0.0094879,           0.0094879
                  48,            0.057319,            0.084993,            0.036857,             0.56006,              0.3994,             0.41235,             0.20486,            0.053884,            0.054122,             0.02396,           0.0094659,           0.0094659,           0.0094659
                  49,            0.057338,            0.085024,            0.036754,             0.56407,             0.39814,             0.41306,             0.20509,            0.053889,            0.054112,            0.023932,           0.0094434,           0.0094434,           0.0094434
                  50,            0.057302,            0.085019,            0.036674,             0.56431,             0.39837,             0.41348,             0.20566,            0.053864,            0.054107,            0.023908,           0.0094205,           0.0094205,           0.0094205
                  51,            0.057268,             0.08516,            0.036683,              0.5709,             0.39573,             0.41405,             0.20591,            0.053845,            0.054097,            0.023887,           0.0093971,           0.0093971,           0.0093971
                  52,            0.057315,            0.085016,            0.036673,             0.57384,             0.39488,             0.41454,             0.20631,             0.05382,             0.05409,            0.023857,           0.0093733,           0.0093733,           0.0093733
                  53,            0.057253,            0.084922,            0.036628,             0.57326,             0.39514,             0.41499,             0.20673,            0.053794,            0.054093,            0.023849,           0.0093491,           0.0093491,           0.0093491
                  54,            0.057255,            0.084834,            0.036614,             0.56052,             0.40118,               0.415,             0.20702,            0.053787,            0.054082,            0.023829,           0.0093245,           0.0093245,           0.0093245
                  55,            0.057248,            0.085017,            0.036584,             0.56694,             0.39826,             0.41533,             0.20723,            0.053773,            0.054078,             0.02381,           0.0092995,           0.0092995,           0.0092995
                  56,            0.057208,            0.084777,            0.036502,             0.55812,             0.40351,             0.41583,             0.20753,            0.053745,            0.054076,            0.023791,            0.009274,            0.009274,            0.009274
                  57,            0.057226,            0.084896,            0.036545,              0.5632,             0.40144,             0.41628,             0.20768,            0.053732,            0.054065,            0.023764,           0.0092481,           0.0092481,           0.0092481
                  58,             0.05721,            0.084937,            0.036411,             0.56117,             0.40338,             0.41677,             0.20819,            0.053695,            0.054058,            0.023738,           0.0092219,           0.0092219,           0.0092219
                  59,            0.057168,            0.084921,            0.036442,             0.56332,             0.40281,             0.41727,             0.20895,            0.053655,            0.054049,            0.023718,           0.0091952,           0.0091952,           0.0091952
                  60,            0.057139,            0.084954,            0.036355,             0.56522,             0.40244,             0.41788,             0.20946,            0.053627,            0.054044,            0.023692,           0.0091681,           0.0091681,           0.0091681
                  61,            0.057129,            0.084955,            0.036323,             0.54759,             0.41183,             0.41856,             0.20977,              0.0536,            0.054036,            0.023673,           0.0091406,           0.0091406,           0.0091406
                  62,            0.057066,            0.084926,             0.03634,             0.55949,              0.4061,             0.41882,             0.21036,            0.053568,            0.054025,            0.023655,           0.0091127,           0.0091127,           0.0091127
                  63,            0.057023,            0.084716,             0.03626,             0.58453,             0.39482,             0.41927,             0.21077,            0.053539,            0.054024,            0.023637,           0.0090844,           0.0090844,           0.0090844
                  64,            0.057036,            0.085015,            0.036116,               0.579,             0.39704,             0.41975,             0.21113,            0.053531,            0.054013,            0.023613,           0.0090557,           0.0090557,           0.0090557
                  65,            0.057027,            0.084697,            0.036265,             0.56456,              0.4042,             0.42015,             0.21162,            0.053491,            0.054004,            0.023588,           0.0090266,           0.0090266,           0.0090266
                  66,            0.056997,             0.08429,            0.036154,             0.55389,             0.41059,             0.42058,             0.21194,            0.053457,            0.054003,            0.023568,           0.0089972,           0.0089972,           0.0089972
                  67,            0.056882,            0.084719,            0.035982,             0.56278,              0.4066,             0.42057,             0.21179,            0.053492,            0.053992,            0.023551,           0.0089673,           0.0089673,           0.0089673
                  68,            0.057034,            0.084841,            0.036054,             0.55811,             0.40884,             0.42097,             0.21188,            0.053496,            0.053984,            0.023532,           0.0089371,           0.0089371,           0.0089371
                  69,            0.056919,            0.084581,            0.035923,             0.56226,             0.40753,             0.42129,             0.21212,            0.053502,            0.053973,            0.023506,           0.0089065,           0.0089065,           0.0089065
                  70,            0.056964,            0.085068,            0.035971,             0.56359,             0.40702,             0.42173,              0.2126,            0.053471,            0.053962,            0.023494,           0.0088755,           0.0088755,           0.0088755
                  71,            0.056831,             0.08489,            0.035855,             0.57058,             0.40461,             0.42229,             0.21328,            0.053414,            0.053957,            0.023477,           0.0088442,           0.0088442,           0.0088442
                  72,            0.056838,            0.084544,            0.035953,             0.57152,             0.40476,             0.42278,             0.21381,            0.053357,            0.053949,             0.02345,           0.0088124,           0.0088124,           0.0088124
                  73,            0.056898,            0.085003,            0.035856,             0.57016,             0.40645,             0.42333,             0.21404,            0.053349,            0.053945,            0.023428,           0.0087804,           0.0087804,           0.0087804
                  74,            0.056888,             0.08496,            0.035925,             0.57555,             0.40403,             0.42357,             0.21422,            0.053346,            0.053946,            0.023409,           0.0087479,           0.0087479,           0.0087479
                  75,            0.056786,            0.084309,            0.035786,             0.57249,             0.40593,             0.42361,             0.21446,            0.053347,            0.053938,            0.023393,           0.0087151,           0.0087151,           0.0087151
                  76,             0.05683,            0.084621,            0.035725,             0.57965,             0.40211,               0.424,             0.21495,            0.053311,            0.053934,            0.023367,            0.008682,            0.008682,            0.008682
                  77,            0.056778,            0.084573,            0.035698,             0.57449,             0.40498,             0.42413,             0.21483,            0.053319,            0.053933,            0.023342,           0.0086485,           0.0086485,           0.0086485
                  78,            0.056798,            0.084517,            0.035619,             0.58306,             0.40213,             0.42459,             0.21521,            0.053293,            0.053931,            0.023319,           0.0086146,           0.0086146,           0.0086146
                  79,            0.056805,            0.084391,            0.035695,             0.55087,             0.41809,             0.42503,             0.21559,            0.053266,            0.053921,              0.0233,           0.0085805,           0.0085805,           0.0085805
                  80,            0.056766,            0.084618,            0.035672,             0.57485,             0.40675,             0.42571,             0.21605,             0.05324,            0.053922,            0.023288,           0.0085459,           0.0085459,           0.0085459
                  81,            0.056646,            0.084645,            0.035505,             0.57388,             0.40794,             0.42614,             0.21638,            0.053234,            0.053919,             0.02327,           0.0085111,           0.0085111,           0.0085111
