               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 225,            0.052454,            0.080963,            0.028562,             0.61461,               0.443,             0.47166,             0.24821,            0.051866,            0.052851,            0.020763,           0.0023515,           0.0023515,           0.0023515
                 226,            0.052374,            0.080282,            0.028718,             0.61317,             0.44404,             0.47221,             0.24899,            0.051836,            0.052838,            0.020739,            0.002318,            0.002318,            0.002318
                 227,            0.052326,            0.080091,             0.02867,             0.60587,             0.44814,             0.47254,             0.24954,            0.051784,            0.052819,            0.020722,           0.0022849,           0.0022849,           0.0022849
                 228,            0.052388,            0.080571,             0.02878,             0.62068,             0.44155,              0.4729,             0.24971,            0.051787,            0.052807,            0.020709,           0.0022521,           0.0022521,           0.0022521
                 229,            0.052388,            0.080724,             0.02871,             0.61935,             0.44198,             0.47282,             0.24979,            0.051771,              0.0528,            0.020697,           0.0022196,           0.0022196,           0.0022196
                 230,            0.052366,            0.080241,            0.028577,             0.61696,             0.44361,             0.47307,             0.24991,            0.051755,            0.052792,            0.020681,           0.0021876,           0.0021876,           0.0021876
                 231,            0.052238,            0.080485,            0.028417,             0.60617,             0.44911,             0.47307,             0.25013,            0.051743,            0.052789,            0.020666,           0.0021558,           0.0021558,           0.0021558
                 232,            0.052221,            0.080089,             0.02846,              0.6114,             0.44723,             0.47328,             0.25045,            0.051709,            0.052773,            0.020649,           0.0021245,           0.0021245,           0.0021245
                 233,            0.052231,             0.08049,            0.028429,              0.6122,             0.44725,             0.47345,             0.25038,            0.051707,            0.052755,            0.020633,           0.0020935,           0.0020935,           0.0020935
                 234,            0.052102,            0.080346,            0.028267,             0.60589,             0.45039,             0.47365,             0.25068,            0.051682,            0.052741,            0.020617,           0.0020629,           0.0020629,           0.0020629
                 235,            0.052069,            0.080316,            0.028265,             0.61119,             0.44851,             0.47409,             0.25124,            0.051652,            0.052727,            0.020594,           0.0020327,           0.0020327,           0.0020327
